type,clientName,clientNameEn,code,description,exchange,full_name,name,securityName,stockNo,createdAt,updatedAt,marketCapPrev,sharesOutstanding,sort,symbol_ref,lastDateSyncIDS
s,Công ty Cổ phần Hải Minh,Hai Minh Corporation,HMH,CTCP Hải Minh,HNX,HMH,HMH,,hnx:12193,2022-02-18T12:28:40.929Z,2023-10-04T01:30:00.796Z,141324117000.0,12847647.0,,,
s,Công ty Cổ phần Tập đoàn GCL,GCL Group Joint Stock Company,KDM,TỔNG CÔNG TY KHU DÂN MỚI,HNX,KDM,KDM,,hnx:74401,2022-02-18T12:28:40.938Z,2023-10-04T01:30:01.036Z,145550000000.0,7100000.0,,,
s,Công ty Cổ phần Viglacera Hạ Long,Viglacera Ha Long Joint Stock Company,VHL,Viglacera Hạ Long,HNX,VHL,VHL,,hnx:5725,2022-02-18T12:28:40.916Z,2023-10-04T01:30:00.574Z,397500000000.0,25000000.0,,,
s,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Central Phamarceutical Joint Stock Company No 3,DP3,Dược phẩm TW 3,HNX,DP3,DP3,,hnx:73499,2022-02-18T12:28:40.912Z,2023-10-04T01:30:00.429Z,1289995980000.0,21499933.0,,,
s,Công ty Cổ phần KASATI,Kasati Joint Stock Company,KST,CTCP KASATI,HNX,KST,KST,,hnx:12892,2022-02-18T12:28:40.913Z,2023-10-04T01:30:00.496Z,76098654000.0,5992020.0,,,
s,Công ty Cổ phần Xi măng VICEM Hoàng Mai,VICEM Hoang Mai Cement Joint Stock Company,HOM,Xi măng Hoàng Mai,HNX,HOM,HOM,,hnx:6724,2022-02-18T12:28:40.930Z,2023-10-04T01:30:00.814Z,381587974300.0,71997731.0,,,
s,Công ty Cổ phần Tập đoàn Danh Khôi,Danh Khoi Group Joint Stock Company,NRC,Tập đoàn Danh Khôi,HNX,NRC,NRC,,hnx:77079,2022-02-18T12:28:40.939Z,2023-10-04T01:30:01.142Z,472248586200.0,92597762.0,,,
s,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,Pharmedic Pharmaceutical Medicinal Joint Stock Company,PMC,Dược Pharmedic,HNX,PMC,PMC,,hnx:7284,2022-02-18T12:28:40.941Z,2023-10-04T01:30:01.225Z,704609261500.0,9332573.0,,,
s,Công ty Cổ phần Chứng khoán Dầu khí,Petrovietnam Securities Incorporated,PSI,CK Dầu khí,HNX,PSI,PSI,,hnx:12092,2022-02-18T12:28:40.943Z,2023-10-04T01:30:01.344Z,526603440000.0,59841300.0,,,
s,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam,Viet Nam National Reinsurance Corporation,VNR,Tái bảo hiểm VN,HNX,VNR,VNR,,hnx:141,2022-02-18T12:28:40.917Z,2023-10-04T01:30:00.606Z,4205565927000.0,150737130.0,,,
s,Công ty Cổ phần Tasco,Tasco Joint Stock Company,HUT,CTCP TASCO,HNX,HUT,HUT,,hnx:4204,2022-02-18T12:28:40.935Z,2023-10-04T01:30:00.889Z,19724514426500.0,892511965.0,,,
s,Công ty Cổ phần Than Núi Béo - Vinacomin,Vinacomin NuiBeo Coal Joint Stock Company,NBC,Than Núi Béo,HNX,NBC,NBC,,hnx:1721,2022-02-18T12:28:40.938Z,2023-10-04T01:30:01.069Z,406990364000.0,36999124.0,,,
s,Công ty Cổ phần Bia Hà Nội - Hải Dương,Hanoi - Haiduong Beer Joint Stock Company,HAD,Bia HN Hải Dương,HNX,HAD,HAD,,hnx:7444,2022-02-18T12:28:40.923Z,2023-10-04T01:30:00.627Z,71200000000.0,4000000.0,,,
s,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,South-East PetroVietnam Fertilizer and Chemicals Joint Stock Company,PSE,H.chất DK Đ.N.Bộ,HNX,PSE,PSE,,hnx:73219,2022-02-18T12:28:40.942Z,2023-10-04T01:30:01.323Z,136250000000.0,12500000.0,,,
s,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,Tien Phong Plastics Joint Stock Company,NTP,Nhựa Tiền Phong,HNX,NTP,NTP,,hnx:1181,2022-02-18T12:28:40.945Z,2023-10-04T01:30:01.404Z,4677669557400.0,129575334.0,,,
s,Công ty Cổ phần Tập đoàn COTANA,COTANA GROUP Joint Stock Company,CSC,COTANA,HNX,CSC,CSC,,hnx:7604,2022-02-18T12:28:40.913Z,2023-10-04T01:30:00.453Z,913419266700.0,31174719.0,,,
s,Công ty Cổ phần Thương nghiệp Cà Mau,Ca Mau Trading Joint Stock Company,CMV,Th.Nghiệp Cà Mau,HOSE,CMV,CMV,,hose:587,2022-02-18T12:28:40.909Z,2023-10-04T01:30:00.404Z,163402812000.0,18155868.0,,,
s,Công ty Cổ phần Thương mại Hóc Môn,Hocmon Trade Joint Stock Company,HTC,Thương mại Hóc Môn,HNX,HTC,HTC,,hnx:8884,2022-02-18T12:28:40.932Z,2023-10-04T01:30:00.832Z,374549841100.0,16499993.0,,,
s,Công ty Cổ phần Hóa chất Việt Trì,Viet Tri Chemical Joint Stock Company,HVT,Hóa chất Việt Trì,HNX,HVT,HVT,,hnx:6264,2022-02-18T12:28:40.935Z,2023-10-04T01:30:00.904Z,581268321100.0,10988059.0,,,
s,Công ty Cổ phần Than Mông Dương - Vinacomin,Vinacomin - Mong Duong Coal Joint Stock Company,MDC,Than Mông Dương,HNX,MDC,MDC,,hnx:6684,2022-02-18T12:28:40.915Z,2023-10-04T01:30:00.537Z,227034467600.0,21418346.0,,,
s,Công ty Cổ phần Logistics Vicem,Logistics Vicem Joint Stock Company,HTV,Logistics Vicem,HOSE,HTV,HTV,,hose:1318,2022-02-18T12:28:40.934Z,2023-10-04T01:30:00.873Z,126846720000.0,13104000.0,,,
s,Công ty Cổ phần Bột giặt Net,Net Detergent Joint Stock Company,NET,CTCP Bột giặt Net,HNX,NET,NET,,hnx:12713,2022-02-18T12:28:40.939Z,2023-10-04T01:30:01.126Z,1343902440000.0,22398374.0,,,
s,Công ty Cổ phần Kinh doanh Khí Miền Nam,Southern Gas Trading Joint Stock Company,PGS,Kinh doanh khí Miền Nam,HNX,PGS,PGS,,hnx:3024,2022-02-18T12:28:40.940Z,2023-10-04T01:30:01.175Z,1274969247000.0,49998794.0,,,
s,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Dam Phu My Packing Joint Stock Company,PMP,Bao bì Đạm Phú Mỹ,HNX,PMP,PMP,,hnx:73740,2022-02-18T12:28:40.941Z,2023-10-04T01:30:01.241Z,50400000000.0,4200000.0,,,
s,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Petroleum General Distribution Services Joint Stock Company,PSD,P.phối T.hợp D.khí,HNX,PSD,PSD,,hnx:22297,2022-02-18T12:28:40.942Z,2023-10-04T01:30:01.308Z,650959821300.0,41462409.0,,,
s,Công ty Cổ phần Công nghệ ONE,One Technologies Corporation,ONE,Truyền thông số 1,HNX,ONE,ONE,,hnx:4664,2022-02-18T12:28:40.946Z,2023-10-04T01:30:01.460Z,43415119000.0,7893658.0,,,
