symbol,open_price,change,percent_change,close_price,type,clientNameEn,exchange,marketCapPrev,sharesOutstanding
AAA,6.81,2.5300000000000002,37.15124816446403,9.34,s,An Phat Bioplastics Joint Stock Company,HOSE,3440470464000.0,382274496.0
AAM,12.0,-1.5,-12.5,10.5,s,Mekong Fisheries Joint Stock Company,HOSE,109737411000.0,10451182.0
AAT,4.96,0.2400000000000002,4.8387096774193585,5.2,s,Tien Son Thanh Hoa Group Joint Stock Company,HOSE,361885616330.0,70819103.0
ABR,8.71,3.789999999999999,43.513203214695736,12.5,s,Viet Brand Invest Joint Stock Company,HOSE,266000000000.0,20000000.0
ABS,5.24,1.3899999999999997,26.5267175572519,6.63,s,BinhThuan Agriculture Services Joint Stock Company,HOSE,509600000000.0,80000000.0
ABT,34.7,-2.5,-7.204610951008646,32.2,s,Bentre Aquaproduct Import And Export Joint Stock Company,HOSE,391593795250.0,11777257.0
ACB,22.0,-0.14999999999999858,-0.6818181818181753,21.85,s,Asia Commercial Joint Stock Bank,HOSE,83895487732800.0,3884050358.0
ACC,11.2,0.8500000000000014,7.589285714285728,12.05,s,ACC Binh Duong Investment and Construction Joint Stock Company,HOSE,1265249915650.0,104999993.0
ACG,35.95,4.949999999999996,13.769123783031976,40.9,s,An Cuong Wood - Working Joint Stock Company,HOSE,6166834351400.0,150778346.0
ACL,10.65,2.9499999999999993,27.69953051643192,13.6,s,Cuu Long An Giang Fish Joint Stock Company,HOSE,702226266000.0,50159019.0
ADG,23.95,1.9499999999999993,8.141962421711897,25.9,s,Clever Group Corporation,HOSE,550548415750.0,21380521.0
ADS,9.27,5.030000000000001,54.26105717367855,14.3,s,Damsan Joint Stock Company,HOSE,797088023550.0,58394727.0
AGG,28.95,2.1000000000000014,7.2538860103627,31.05,s,An Gia Real Estate Investment And Development Corporation,HOSE,3816110224000.0,125118368.0
AGM,8.92,-2.6399999999999997,-29.596412556053806,6.28,s,An Giang Import Export Company,HOSE,114296000000.0,18200000.0
AGR,7.5,9.850000000000001,131.33333333333334,17.35,s,AgriBank Securities Corporation,HOSE,3564725386100.0,215391262.0
AMD,1.11,-0.010000000000000009,-0.9009009009009016,1.1,s,FLC Stone Mining and Investment Joint Stock Company,UPCOM,179855361400.0,163504874.0
ANV,22.95,13.05,56.86274509803923,36.0,s,Nam Viet Corporation,HOSE,5045546462500.0,133127875.0
APC,14.2,-3.25,-22.887323943661972,10.95,s,An Phu Irradiation Joint Stock Company,HOSE,205021757500.0,19905025.0
APG,6.08,3.2699999999999996,53.7828947368421,9.35,s,APG Securities Joint Stock Company,HOSE,1361090406120.0,153621942.0
APH,7.08,0.9199999999999999,12.994350282485875,8.0,s,An Phat Holdings Joint Stock Company,HOSE,1873031178240.0,243884268.0
ASG,24.6,-1.6500000000000021,-6.70731707317074,22.95,s,ASG Corporation,HOSE,1736256798450.0,75653891.0
ASM,7.81,2.240000000000001,28.681177976952643,10.05,s,Sao Mai Group Corporation,HOSE,3297962169600.0,336526752.0
ASP,5.17,0.8100000000000005,15.667311411992275,5.98,s,An Pha Petrol Joint Stock Company,HOSE,216569343600.0,37339542.0
AST,57.0,0.8999999999999986,1.5789473684210502,57.9,s,Taseco Air Services Joint Stock Company,HOSE,2565000000000.0,45000000.0
BAF,18.4,3.950000000000003,21.467391304347842,22.35,s,BAF Vietnam Agriculture Joint Stock Company,HOSE,3329664000000.0,143520000.0
BBC,53.7,1.8999999999999986,3.5381750465549318,55.6,s,Bibica Corporation,HOSE,1031397785000.0,18752687.0
BCE,5.65,0.21999999999999975,3.8938053097345082,5.87,s,Binh Duong Construction And Civil Engineering Joint Stock Company,HOSE,205450000000.0,35000000.0
BCG,6.32,3.5600000000000005,56.32911392405063,9.88,s,Bamboo Capital Group Joint Stock Company,HOSE,4955914208380.0,533467622.0
BCM,80.0,-10.5,-13.125,69.5,s,Investment and Industrial Development Joint Stock Corporation,HOSE,70897500000000.0,1035000000.0
BFC,17.1,1.7999999999999972,10.526315789473667,18.9,s,Binh Dien Fertilizer Joint Stock Company,HOSE,1063324669800.0,57167993.0
BHN,45.95,-4.350000000000001,-9.466811751904245,41.6,s,Hanoi Beer Alcohol and Beverage Joint Stock Corporation,HOSE,9654470000000.0,231800000.0
BIC,25.8,-0.8000000000000007,-3.1007751937984525,25.0,s,BIDV Insurance Corporation,HOSE,2937786219750.0,117276895.0
BID,39.3,5.050000000000004,12.849872773536909,44.35,s,Joint Stock Commercial Bank for Investment and Development of Vietnam,HOSE,210181664554800.0,5058523816.0
BKG,3.51,0.8900000000000006,25.356125356125375,4.4,s,BKG Vietnam Investment Joint Stock Company,HOSE,293259926900.0,68199983.0
BMC,12.25,2.75,22.448979591836736,15.0,s,Binh Dinh Minerals Joint Stock Company,HOSE,177834240500.0,12392630.0
BMI,21.15,5.25,24.822695035460995,26.4,s,BaoMinh Insurance Corporation,HOSE,2850223610000.0,109623985.0
BMP,59.5,26.5,44.537815126050425,86.0,s,Binh Minh Plastics Joint Stock Company,HOSE,6859946604400.0,81860938.0
BRC,10.2,1.4000000000000004,13.725490196078436,11.6,s,Ben Thanh Rubber Joint Stock Company,HOSE,147262464300.0,12374997.0
BSI,17.65,23.35,132.2946175637394,41.0,s,BIDV Joint Stock Securities Company,HOSE,7474152405650.0,202277467.0
BTP,14.2,-0.34999999999999964,-2.464788732394364,13.85,s,Ba Ria Thermal Power Joint Stock Company,HOSE,816555600000.0,60485600.0
BTT,39.65,-8.099999999999998,-20.428751576292555,31.55,s,Ben Thanh Trading and Service Joint Stock Company,HOSE,425925000000.0,13500000.0
BVH,46.65,-4.5,-9.64630225080386,42.15,s,Bao Viet Holdings,HOSE,31066207673400.0,742322764.0
BWE,49.4,-3.1999999999999957,-6.477732793522259,46.2,s,Binh Duong Water - Environment Corporation - Joint Stock Company,HOSE,9009364000000.0,192920000.0
C32,18.45,-1.0999999999999979,-5.962059620596195,17.35,s,CIC39 Corporation,HOSE,259270001250.0,15030145.0
C47,7.38,-0.3700000000000001,-5.013550135501356,7.01,s,Construction Joint Stock Company 47,HOSE,229621473950.0,33039061.0
CAV,50.0,20.200000000000003,40.400000000000006,70.2,s,Vietnam Electric Cable Corporation,HOSE,3909281240000.0,57489430.0
CCI,26.7,-5.849999999999998,-21.910112359550553,20.85,s,Cuchi Commercial and Industrial Developing Investment Joint Stock Company,HOSE,353453265750.0,17541105.0
CCL,5.38,1.2700000000000005,23.605947955390345,6.65,s,Cuu Long Petro Urban Development And Investment Corporation,HOSE,378937818480.0,59581418.0
CDC,18.2,1.75,9.615384615384617,19.95,s,Chuong Duong Corporation,HOSE,428779962000.0,21988716.0
CHP,22.2,1.1000000000000014,4.954954954954961,23.3,s,Central Hydropower Joint Stock Company,HOSE,3423065164400.0,146912668.0
CIG,3.61,3.15,87.25761772853186,6.76,s,COMA 18 Joint Stock Company,HOSE,210686845960.0,31539947.0
